,Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
295,MPC,107.58000183105467,1822.0,0.7427480386751496,0.9894957983193278,0.2683755212889918,0.9936974789915968,0.092626476044933,0.9789915966386554,0.9873949579831933
434,UNM,41.04999923706055,4776.0,0.5714888319042428,0.972689075630252,0.3319589616944293,0.9978991596638656,0.091174917665101,0.9768907563025212,0.9824929971988796
102,COP,115.93000030517578,1691.0,0.7004363003502891,0.9831932773109244,0.1962483349550792,0.98109243697479,0.0825465815543478,0.9663865546218487,0.9768907563025211
446,VRTX,302.0199890136719,649.0,0.6777023766567826,0.98109243697479,0.0949498013862413,0.934873949579832,0.0818110070101452,0.9642857142857144,0.9600840336134455
202,HES,126.91000366210938,1545.0,0.538010220332876,0.9684873949579832,0.1803105555333226,0.9747899159663864,0.0657404046768841,0.934873949579832,0.9593837535014006
135,DVN,70.87999725341797,2766.0,0.9890506100449338,0.9978991596638656,0.2238670853463239,0.9831932773109244,0.0427235264645564,0.884453781512605,0.9551820728291317
297,MRO,27.190000534057617,7211.0,0.7936743477568016,0.9936974789915968,0.097535044707062,0.9369747899159664,0.0654388732891225,0.9327731092436974,0.9544817927170869
467,XOM,99.12000274658205,1978.0,0.7079297545685027,0.9852941176470588,0.1888096025249305,0.9789915966386554,0.0439179139796385,0.8907563025210083,0.9516806722689075
271,LW,82.1500015258789,2386.0,0.4322983557566873,0.9516806722689076,0.2673070074033586,0.9915966386554622,0.0533402202340861,0.9096638655462184,0.9509803921568627
178,FTI,9.260000228881836,21174.0,0.1887035011845027,0.8739495798319328,0.2297476720943567,0.9852941176470588,0.1036948569676136,0.9852941176470588,0.9481792717086834
441,VLO,118.08999633789062,1660.0,0.6207947880880637,0.9768907563025212,0.1622579216279894,0.9663865546218487,0.0470827949642477,0.8991596638655462,0.9474789915966387
263,LLY,331.7799987792969,590.0,0.4429540471932535,0.953781512605042,0.0828545941728186,0.9201680672268908,0.0813505992414071,0.96218487394958,0.9453781512605043
147,EOG,126.08000183105467,1555.0,0.5968824109993991,0.9747899159663864,0.0874313304544519,0.9264705882352942,0.0609068357520657,0.9264705882352942,0.9425770308123249
270,LVS,42.619998931884766,4600.0,0.1481681077117622,0.8487394957983193,0.180282420700569,0.972689075630252,0.2022566435722352,0.9915966386554622,0.9376750700280112
362,PXD,251.17999267578125,780.0,0.5016693088191212,0.9663865546218487,0.0934225394736107,0.930672268907563,0.0510062634521587,0.9054621848739496,0.9341736694677871
369,REGN,745.6799926757812,262.0,0.3508205613792383,0.9390756302521008,0.0330839640990156,0.865546218487395,0.299162030658691,0.995798319327731,0.9334733893557423
359,PSX,92.61000061035156,2117.0,0.2197597294268045,0.8970588235294117,0.1385262967542196,0.9600840336134452,0.0674273666445447,0.9411764705882354,0.9327731092436974
388,SLB,41.56999969482422,4716.0,0.3611420860798875,0.9432773109243696,0.0230439458254493,0.8571428571428572,0.1126873398204968,0.9894957983193278,0.9299719887955182
23,ALB,276.79998779296875,708.0,0.2533357303301229,0.9033613445378152,0.3103085772566344,0.995798319327731,0.0392071111962523,0.8697478991596639,0.9229691876750701
215,HUM,504.7099914550781,388.0,0.2579828521369337,0.9054621848739496,0.1065996100684193,0.9453781512605042,0.0541919338558716,0.9159663865546218,0.9222689075630252
88,CI,294.0299987792969,666.0,0.4623856445776517,0.9600840336134452,0.1620134889579305,0.9642857142857144,0.0307800132490688,0.8319327731092437,0.9187675070028011
342,PFG,78.52999877929688,2496.0,0.1982252023363629,0.884453781512605,0.0937912207313878,0.9327731092436974,0.0642363166412715,0.930672268907563,0.9159663865546218
334,OXY,67.73999786376953,2894.0,1.0994185869172244,1.0,0.1789986259117874,0.9705882352941176,0.0149009133839258,0.7731092436974789,0.9145658263305322
40,APA,40.52000045776367,4839.0,0.7996684309685814,0.995798319327731,-0.0053603600229228,0.796218487394958,0.0713908192682761,0.9474789915966388,0.9131652661064427
302,MTB,185.8099975585937,1055.0,0.24328636772033,0.9012605042016808,0.1679650029949065,0.9684873949579832,0.037928684639057,0.865546218487395,0.911764705882353
52,AZO,2245.449951171875,87.0,0.3336164214090565,0.934873949579832,0.0416868976091754,0.8823529411764706,0.0537763334865948,0.9117647058823528,0.9096638655462185
161,FANG,139.3699951171875,1406.0,0.4017299112024342,0.9495798319327732,0.0665866374108355,0.9033613445378152,0.0399970213421518,0.8739495798319328,0.9089635854341738
184,GIS,77.69000244140625,2523.0,0.295045061801522,0.9243697478991596,0.1217827461544757,0.9516806722689076,0.0317396984433806,0.8403361344537815,0.9054621848739496
185,GL,106.5199966430664,1840.0,0.1412559809150212,0.8340336134453782,0.0517024021390512,0.8886554621848739,0.0927368996186007,0.98109243697479,0.9012605042016807
337,PCAR,90.91000366210938,2156.0,0.1309798485750605,0.8277310924369747,0.1000852500437144,0.9432773109243696,0.0469883881724793,0.8970588235294117,0.8893557422969187
72,CAH,69.38999938964844,2825.0,0.4660322570791804,0.9642857142857144,0.1881650215624764,0.9768907563025212,0.005631483055242,0.7163865546218487,0.8858543417366948
112,CTVA,61.52000045776367,3187.0,0.463517333185957,0.96218487394958,0.0571971134441516,0.8949579831932774,0.0198939119530933,0.7941176470588235,0.8837535014005603
460,WRB,67.9800033569336,2884.0,0.3521811860797319,0.9411764705882354,0.0214178171496146,0.8487394957983193,0.0363114174383614,0.8613445378151261,0.8837535014005603
