Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
A,132.63999938964844,,-0.14055201375244122,,-0.02078337150042812,,0.084560915210387,,0.027606743691605495,,
AAL,12.869999885559082,,-0.3619236570710104,,-0.240708005530073,,-0.07874018328159121,,-0.02647506614221794,,
AAP,167.63999938964844,,-0.19542509799171454,,-0.21584049374450634,,-0.0752761851983655,,-0.024276012766836493,,
AAPL,146.39999389648438,,0.027429437292019715,,-0.1470968131927721,,-0.0029695379196981913,,-0.05261117548071654,,
ABBV,143.3300018310547,,0.34573282448270926,,-0.1580086380245003,,-0.053512034595324005,,0.04171818915575721,,
ABC,142.4499969482422,,0.21720393263814422,,-0.12025327907118318,,0.0024093852529602183,,-0.024448755100413635,,
ABMD,264.260009765625,,-0.2234498405965411,,-0.1677374058039338,,-0.010262135709269662,,0.0014020807785410866,,
ABT,103.37999725341795,,-0.10927790446712458,,-0.1549535805867282,,-0.049610964124701895,,0.006523202949250153,,
ACN,274.3399963378906,,-0.14889360380677547,,-0.19204254426113995,,-0.013452472379198157,,-0.032173835433960386,,
ADBE,297.3800048828125,,-0.48635485422712404,,-0.3431259849775483,,-0.23639070712168242,,-0.19256037268733842,,
ADI,151.88999938964844,,-0.07372124287059174,,-0.04910642342495098,,0.01788064524606364,,0.024691383441964154,,
ADM,86.2699966430664,,0.3967143757163784,,-0.07350481175915738,,0.18179053334820205,,0.006651105193953104,,
ADP,239.0500030517578,,0.17312942973637804,,0.011418629586264564,,0.10499815767586154,,0.00815889989410921,,
ADSK,204.52999877929688,,-0.2773302002728273,,-0.0011720734880911476,,0.13735192513342212,,0.03204161034511751,,
AEE,81.44000244140625,,0.01020921813555073,,-0.14790501816663107,,-0.0659788218028785,,-0.11689436821300753,,
AEP,87.69999694824219,,0.0780432998682341,,-0.13818133917085124,,-0.06308155402589576,,-0.1364710608855146,,
AES,25.420000076293945,,0.08497640672683042,,0.022382499167090567,,0.19077006293817134,,-0.024184229528510726,,
AFL,59.66999816894531,,0.1302944984127452,,-0.07186213786047813,,0.06766489283716344,,0.0023517452128207664,,
AIG,51.29999923706055,,-0.0818725639525397,,-0.1578967109973611,,0.002616587281593506,,-0.014425546513215527,,
AIV,7.510000228881836,,0.04677692767058481,,0.07981725888046451,,0.13690729487286935,,-0.16281132225913622,,
AIZ,151.92999267578125,,-0.05081936301487,,-0.1755457922288262,,-0.1287007242447864,,-0.042417816910307826,,
AJG,181.75999450683597,,0.19915403620186276,,0.007731868276523636,,0.09301972841836631,,0.004754011273453536,,
AKAM,85.37999725341797,,-0.17706026743693523,,-0.284565109155197,,-0.07346721823503917,,-0.036886680385519795,,
ALB,276.79998779296875,,0.25333573033012297,,0.3103085772566344,,0.34587749080644636,,0.03920711119625233,,
ALGN,228.80999755859372,,-0.6540572309928048,,-0.45802737806594396,,-0.12507644856687453,,-0.04259595673703391,,
ALK,42.65999984741211,,-0.2918326915873706,,-0.20112362119057126,,0.043286879045827495,,-0.0282460509195158,,
ALL,133.0,,0.07338087980951198,,-0.04018418692929543,,0.023285070921432123,,0.09474032709373316,,
ALLE,95.95999908447266,,-0.259623557705439,,-0.10772658314773373,,-0.02196796452553817,,0.018335624338424714,,
AMAT,89.22000122070312,,-0.29642194646035547,,-0.2674273970172501,,-0.019101208793715938,,-0.011850699789285404,,
AMCR,11.09000015258789,,-0.025457574619861086,,-0.01930364846925639,,-0.09940086852804454,,-0.054560981778804966,,
AMD,67.94000244140625,,-0.36176604613300417,,-0.34496720360773553,,-0.14379327349875196,,-0.13694103928013873,,
AME,121.08000183105467,,-0.028904270124499407,,-0.08155738146074654,,0.0795762970994997,,0.01489744707554906,,
AMGN,233.82000732421875,,0.15515780227626794,,-0.05611653979100641,,-0.0517316929617835,,-0.034679191867522816,,
AMP,276.2799987792969,,0.016377874186015207,,-0.03612037391933904,,0.17347787462702355,,0.02901414886313521,,
AMT,214.13999938964844,,-0.18213065368570047,,-0.185009113992621,,-0.16026820908029907,,-0.15752614068726384,,
AMZN,120.9499969482422,,-0.2675091205826084,,-0.2334481723194042,,0.046823576162771156,,-0.04091668889965752,,
ANET,121.3499984741211,,0.333077008693973,,-0.08635753815386354,,0.17815532499146694,,0.03232662972105688,,
ANSS,233.83999633789065,,-0.3294141204209957,,-0.2483687205550627,,-0.06332865189313505,,-0.030755194967622666,,
AON,282.7799987792969,,-0.0288771222566781,,-0.1489347143425281,,0.032627246942867213,,0.005511459419045082,,
AOS,51.5,,-0.1897376655464985,,-0.17936712919554623,,-0.09181507072322659,,-0.078547136117191,,
APA,40.52000045776367,,0.7996684309685814,,-0.0053603600229228075,,0.16686476789749416,,0.0713908192682761,,
APD,242.8000030517578,,-0.05462931067569046,,-0.02076920752610228,,0.05296550893543695,,-0.006746845721973852,,
APH,71.87999725341797,,-0.03869403795633427,,-0.022447448841794688,,0.09408337462608624,,-0.010186673917172774,,
APTV,87.0999984741211,,-0.4714806015703405,,-0.209762316190569,,-0.057971021668025285,,-0.020357722567046165,,
ARE,141.35000610351562,,-0.2554595664560508,,-0.2939937774602548,,-0.02602645574575181,,-0.06634546082915171,,
ATO,104.11000061035156,,0.18984434782548038,,-0.1282780907868274,,-0.06547948094923722,,-0.08843357460016153,,
ATVI,74.11000061035156,,-0.03631703558051413,,-0.0693981385368437,,-0.051452665869517134,,-0.03552831673148939,,
