,Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
0,A,132.63999938964844,,-0.1405520137524412,0.4600840336134454,-0.0207833715004281,0.7647058823529411,0.0276067436916054,0.8214285714285714,
1,AAL,12.869999885559082,,-0.3619236570710104,0.11764705882352942,-0.240708005530073,0.20168067226890757,-0.0264750661422179,0.4789915966386555,
2,AAP,167.63999938964844,,-0.1954250979917145,0.35714285714285715,-0.2158404937445063,0.2689075630252101,-0.0242760127668364,0.4894957983193277,
3,AAPL,146.39999389648438,,0.0274294372920197,0.7373949579831932,-0.1470968131927721,0.4726890756302521,-0.0526111754807165,0.32142857142857145,
4,ABBV,143.3300018310547,,0.3457328244827092,0.9369747899159664,-0.1580086380245003,0.4453781512605042,0.0417181891557572,0.8823529411764706,
5,ABC,142.4499969482422,,0.2172039326381442,0.8928571428571429,-0.1202532790711831,0.5525210084033614,-0.0244487551004136,0.4852941176470588,
6,ABMD,264.260009765625,,-0.2234498405965411,0.3004201680672269,-0.1677374058039338,0.41386554621848737,0.001402080778541,0.6869747899159664,
7,ABT,103.37999725341795,,-0.1092779044671245,0.523109243697479,-0.1549535805867282,0.45168067226890757,0.0065232029492501,0.7226890756302521,
8,ACN,274.3399963378906,,-0.1488936038067754,0.4474789915966387,-0.1920425442611399,0.33613445378151263,-0.0321738354339603,0.4495798319327731,
9,ADBE,297.3800048828125,,-0.486354854227124,0.03571428571428572,-0.3431259849775483,0.06302521008403361,-0.1925603726873384,0.01050420168067227,
10,ADI,151.88999938964844,,-0.0737212428705917,0.5756302521008404,-0.0491064234249509,0.7184873949579833,0.0246913834419641,0.8130252100840336,
11,ADM,86.2699966430664,,0.3967143757163784,0.9474789915966387,-0.0735048117591573,0.6659663865546218,0.0066511051939531,0.7247899159663865,
12,ADP,239.0500030517578,,0.173129429736378,0.865546218487395,0.0114186295862645,0.8319327731092437,0.0081588998941092,0.7289915966386554,
13,ADSK,204.52999877929688,,-0.2773302002728273,0.20168067226890757,-0.0011720734880911,0.8130252100840336,0.0320416103451175,0.842436974789916,
14,AEE,81.44000244140625,,0.0102092181355507,0.7163865546218487,-0.147905018166631,0.4705882352941177,-0.1168943682130075,0.09453781512605042,
15,AEP,87.69999694824219,,0.0780432998682341,0.8004201680672268,-0.1381813391708512,0.4957983193277311,-0.1364710608855146,0.04831932773109243,
16,AES,25.420000076293945,,0.0849764067268304,0.8025210084033614,0.0223824991670905,0.8508403361344539,-0.0241842295285107,0.4915966386554622,
17,AFL,59.66999816894531,,0.1302944984127452,0.8256302521008404,-0.0718621378604781,0.676470588235294,0.0023517452128207,0.6953781512605042,
18,AIG,51.29999923706055,,-0.0818725639525397,0.5630252100840336,-0.1578967109973611,0.4495798319327731,-0.0144255465132155,0.5819327731092437,
19,AIV,7.510000228881836,,0.0467769276705848,0.7689075630252101,0.0798172588804645,0.9159663865546218,-0.1628113222591362,0.023109243697478993,
20,AIZ,151.92999267578125,,-0.05081936301487,0.615546218487395,-0.1755457922288262,0.38445378151260506,-0.0424178169103078,0.39285714285714285,
21,AJG,181.759994506836,,0.1991540362018627,0.8865546218487396,0.0077318682765236,0.8256302521008404,0.0047540112734535,0.707983193277311,
22,AKAM,85.37999725341797,,-0.1770602674369352,0.4012605042016807,-0.284565109155197,0.12394957983193278,-0.0368866803855197,0.42016806722689076,
23,ALB,276.79998779296875,,0.2533357303301229,0.9033613445378151,0.3103085772566344,0.995798319327731,0.0392071111962523,0.8697478991596639,
24,ALGN,228.8099975585937,,-0.6540572309928048,0.0063025210084033615,-0.4580273780659439,0.012605042016806723,-0.0425959567370339,0.38865546218487396,
25,ALK,42.65999984741211,,-0.2918326915873706,0.18277310924369747,-0.2011236211905712,0.3130252100840336,-0.0282460509195158,0.4705882352941177,
26,ALL,133.0,,0.0733808798095119,0.792016806722689,-0.0401841869292954,0.7373949579831932,0.0947403270937331,0.9831932773109244,
27,ALLE,95.95999908447266,,-0.259623557705439,0.23949579831932774,-0.1077265831477337,0.5735294117647058,0.0183356243384247,0.7878151260504203,
28,AMAT,89.22000122070312,,-0.2964219464603554,0.17857142857142858,-0.2674273970172501,0.14915966386554622,-0.0118506997892854,0.6050420168067226,
29,AMCR,11.09000015258789,,-0.025457574619861,0.6638655462184875,-0.0193036484692563,0.7731092436974789,-0.0545609817788049,0.31512605042016806,
30,AMD,67.94000244140625,,-0.3617660461330041,0.11974789915966387,-0.3449672036077355,0.05882352941176471,-0.1369410392801387,0.046218487394957986,
31,AME,121.08000183105467,,-0.0289042701244994,0.657563025210084,-0.0815573814607465,0.6449579831932774,0.014897447075549,0.7710084033613446,
32,AMGN,233.82000732421875,,0.1551578022762679,0.8571428571428572,-0.0561165397910064,0.703781512605042,-0.0346791918675228,0.4369747899159664,
33,AMP,276.2799987792969,,0.0163778741860152,0.7268907563025211,-0.036120373919339,0.7415966386554622,0.0290141488631352,0.8256302521008404,
34,AMT,214.13999938964844,,-0.1821306536857004,0.37815126050420167,-0.185009113992621,0.34663865546218486,-0.1575261406872638,0.029411764705882356,
35,AMZN,120.9499969482422,,-0.2675091205826084,0.22478991596638656,-0.2334481723194042,0.22058823529411764,-0.0409166888996575,0.4012605042016807,
36,ANET,121.3499984741211,,0.333077008693973,0.9327731092436974,-0.0863575381538635,0.6365546218487395,0.0323266297210568,0.8487394957983193,
